UTK,small_airport,MH
OCA,small_airport,US
PQS,small_airport,US
CSE,small_airport,US
JCY,small_airport,US
PMX,small_airport,US
WLR,seaplane_base,US
NUP,small_airport,US
PTC,seaplane_base,US
ICY,small_airport,US
PPV,seaplane_base,US
KKK,small_airport,US
MHS,small_airport,US
NIR,small_airport,US
GCT,small_airport,US
ELW,seaplane_base,US
LVD,small_airport,US
HGZ,small_airport,US
OTN,small_airport,US
TLF,small_airport,US
BZT,small_airport,US
HBH,seaplane_base,US
FAK,seaplane_base,US
BYW,small_airport,US
DRF,small_airport,US
BDF,small_airport,US
VRS,small_airport,US
GDH,seaplane_base,US
ATT,small_airport,US
LIV,small_airport,US
PDB,small_airport,US
KOZ,small_airport,US
TNK,small_airport,US
WHD,seaplane_base,US
MNT,small_airport,US
TKI,seaplane_base,US
WKK,medium_airport,US
WFB,seaplane_base,US
NNK,small_airport,US
BKF,seaplane_base,US
BCS,small_airport,US
SPQ,heliport,US
TSS,heliport,US
QNY,seaplane_base,US
BWL,small_airport,US
WYB,seaplane_base,US
CWS,small_airport,US
TEK,small_airport,US
DUF,small_airport,US
SSW,small_airport,US
FOB,small_airport,US
PUL,seaplane_base,US
CCD,heliport,US
WMK,seaplane_base,US
AXB,small_airport,US
REE,small_airport,US
WDN,small_airport,US
WWP,seaplane_base,US
CHU,small_airport,US
UGS,small_airport,US
MXG,small_airport,US
PSQ,seaplane_base,US
KLL,small_airport,US
SGW,seaplane_base,US
WTL,small_airport,US
TWA,small_airport,US
KCQ,small_airport,US
AAD,small_airport,SO
ABP,small_airport,PG
ALV,heliport,AD
ADC,small_airport,PG
ADV,small_airport,SD
DJH,seaplane_base,AE
AEE,small_airport,SS
AEI,heliport,ES
AEK,small_airport,PG
AEQ,small_airport,CN
URZ,small_airport,AF
OLR,small_airport,AF
AFK,seaplane_base,LK
AFR,small_airport,PG
AFT,small_airport,SB
RNA,small_airport,SB
ATD,small_airport,SB
VEV,small_airport,SB
GEF,small_airport,SB
AGG,small_airport,PG
AKS,small_airport,SB
BNY,small_airport,SB
CHY,small_airport,SB
BAS,small_airport,SB
FRE,small_airport,SB
HIR,medium_airport,SB
MBU,small_airport,SB
AVU,small_airport,SB
IRA,small_airport,SB
SCZ,small_airport,SB
MUA,medium_airport,SB
GZO,small_airport,SB
MNY,small_airport,SB
PRS,small_airport,SB
RNL,small_airport,SB
EGM,small_airport,SB
NNB,small_airport,SB
RUS,small_airport,SB
VAO,small_airport,SB
XYA,small_airport,SB
AGK,small_airport,PG
KGE,small_airport,SB
KUE,small_airport,SB
KWS,small_airport,SB
AGL,small_airport,PG
NAZ,small_airport,SB
RIN,small_airport,SB
RBV,small_airport,SB
TLG,heliport,SB
AGY,small_airport,AU
AHJ,medium_airport,CN
AHY,small_airport,MG
AIE,small_airport,PG
AIH,small_airport,PG
AIC,small_airport,MH
CEX,small_airport,US
SOL,small_airport,US
HED,small_airport,US
TWE,small_airport,US
KTH,seaplane_base,US
NKI,seaplane_base,US
LNI,small_airport,US
CDL,small_airport,US
AOS,seaplane_base,US
BSZ,small_airport,US
BSW,small_airport,US
AKM,small_airport,TD
TGE,small_airport,US
ALZ,seaplane_base,US
PPE,small_airport,MX
AME,small_airport,MZ
AMF,small_airport,PG
AMU,small_airport,PG
AMY,small_airport,MG
INU,medium_airport,NR
ANZ,small_airport,AU
ANL,small_airport,AO
CNZ,small_airport,AO
DRC,small_airport,AO
GGC,small_airport,AO
JMB,small_airport,AO
KNP,small_airport,AO
NDF,small_airport,AO
AOB,small_airport,PG
AOD,small_airport,TD
APP,small_airport,PG
APR,small_airport,PG
AQY,small_airport,US
QRF,small_airport,AR
